"Indicativo","NOMBRE","PROVINCIA","MUNICIPIO","ALTITUD","LONGITUD","LATITUD","DATUM","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre","anual","Archivo_Origen"
"0016A","REUS/AEROPUERTO","TARRAGONA","REUS",71,109491,410842,"ETRS89","84","100","96","124","156","175","189","206","167","117","125","82","135","E_2020.csv"
"0076",NA,NA,NA,NA,NA,NA,NA,"96","116","108","140","170","195","228","244","191","139","137","92","155","E_2020.csv"
"0200E","BARCELONA (FABRA)","BARCELONA","BARCELONA",408,207271,412506,"ETRS89","84","102","95","118","147","172","195","210","162","121",NA,"82",NA,"E_2020.csv"
"0367",NA,NA,NA,NA,NA,NA,NA,"90","105","104","130","158",NA,NA,"220",NA,"129","120","86",NA,"E_2020.csv"
"1014","HONDARRIBIA-MALKARROA","GIPUZKOA","HONDARRIBIA",4,147322,432125,"ETRS89","92","107","105","129","156","167","196","199","175","131","120","98","140","E_2020.csv"
"1024E","SAN SEBASTIÁN,IGUELDO","GIPUZKOA","DONOSTIA/SAN SEBASTIÁN",251,202282,431823,"ETRS89","89","102","101","124","155","165","191","195","168","123","110","91","135","E_2020.csv"
"1082","BILBAO/AEROPUERTO","BIZKAIA","LOIU",42,254232,431753,"ETRS89","89","106","102","132","157","165","188","193","166","132",NA,"95",NA,"E_2020.csv"
"1109","SANTANDER/PARAYAS","CANTABRIA","CAMARGO",3,349322,432526,"ETRS89",NA,"111",NA,NA,"160",NA,"189","191","170","131",NA,"99",NA,"E_2020.csv"
"1111","SANTANDER I,CMT","CANTABRIA","SANTANDER",52,348022,432928,"ETRS89","97","114","112","133","161","166","192","197","180","136","133","103","144","E_2020.csv"
"1208H","GIJÓN, MUSEL","ASTURIAS","GIJÓN",5,542032,433336,"ETRS89","97","110","105","128","151","157","181","187","174","135","128","104","138","E_2020.csv"
"1212E","ASTURIAS/AVILÉS","ASTURIAS","CASTRILLÓN",127,602392,433401,"ETRS89","93","102",NA,"128","151","161","192","197","183","137",NA,NA,NA,"E_2020.csv"
"1249I","OVIEDO","ASTURIAS","OVIEDO",336,552272,432112,"ETRS89","85","97","96","119","144","154","178","178","165","120","114","90","128","E_2020.csv"
"1387","A CORUÑA","A CORUÑA","A CORUÑA",58,825172,432157,"ETRS89","108","118","112","131","148","158","176","189","169","141","130","110","141","E_2020.csv"
"1387E","A CORUÑA/ALVEDRO","A CORUÑA","CULLEREDO",98,822192,431825,"ETRS89",NA,"110","103","124","141","149","170","181","162","134","123","105",NA,"E_2020.csv"
"1428","SANTIAGO DE COMPOSTELA/LABACOLLA","A CORUÑA","O PINO",370,824382,425317,"ETRS89","99","111","102",NA,"146","151","170","178","162","135","124","105",NA,"E_2020.csv"
"1484C","PONTEVEDRA","PONTEVEDRA","PONTEVEDRA",108,836572,422618,"ETRS89","102","118","106","128","153","156","174","175","154","137","127","108","137","E_2020.csv"
"1495","VIGO/PEINADOR","PONTEVEDRA","REDONDELA",261,837262,421419,"ETRS89",NA,"121","111",NA,"162","164",NA,NA,"165","135","124","103",NA,"E_2020.csv"
"1505","LUGO/ROZAS","LUGO","CASTRO DE REI",445,727272,430641,"ETRS89","88","99","96","118","137","143","164","163","150","123","113","92","124","E_2020.csv"
"1549","PONFERRADA","LEON","PONFERRADA",534,636002,423350,"ETRS89","75","87","81","106","120","122","141",NA,"119","107","102","84",NA,"E_2020.csv"
"1690A","OURENSE","OURENSE","OURENSE",143,751352,421931,"ETRS89","91","106","99","125","145","141","155","150","131","123","120","99","124","E_2020.csv"
"2030","SORIA","SORIA","SORIA",1082,228592,414630,"ETRS89","66","73","73","102","109",NA,"124","117",NA,"90","88","70",NA,"E_2020.csv"
"2331","BURGOS/VILLAFRÍA","BURGOS","BURGOS",891,337132,422125,"ETRS89","74","84","80","109","118","124","133","124","108","97","93","77","102","E_2020.csv"
"2422","VALLADOLID","VALLADOLID","VALLADOLID",735,445162,413827,"ETRS89","76","88","82","112","121","114","123","118","110","98","100","80","102","E_2020.csv"
"2444","ÁVILA","AVILA","ÁVILA",1130,440482,403933,"ETRS89","63","73","72","96","104","101","103","103","97","88","90","72","89","E_2020.csv"
"2462","NAVACERRADA,PUERTO","MADRID","CERCEDILLA",1894,400382,404735,"ETRS89",NA,"58","62","81","90","95","93",NA,"88","76","70","58",NA,"E_2020.csv"
"2465","SEGOVIA","SEGOVIA","SEGOVIA",1005,407352,405643,"ETRS89","64","74","76","98","110","103","107","104","96","89","89","75","90","E_2020.csv"
"2539","VALLADOLID/VILLANUBLA","VALLADOLID","VILLANUBLA",846,451202,414243,"ETRS89","74","86","81","108","120","112","120","117","106","95","95","77","99","E_2020.csv"
"2614","ZAMORA","ZAMORA","ZAMORA",656,544072,413056,"ETRS89","79","92","87","115","120","116","127","123","114","100","105",NA,NA,"E_2020.csv"
"2661","LEÓN/VIRGEN DEL CAMINO","LEON","VALVERDE DE LA VIRGEN",912,539042,423518,"ETRS89",NA,"77","68","96","109","106","116","117","109","97","97","74",NA,"E_2020.csv"
